card_id,front,back,catalan,espanol,palabra,categoria_gramatical,usage_tags,audio_file_name
paraula_0001_01,La casa {{c1::de}} la meva mare és gran.<br>La casa {{c2::de}} mi madre es grande.,[sound:la_casa_de_la_meva_mare_s_gran.mp3],La casa de la meva mare és gran.,La casa de mi madre es grande.,de,Preposition,Common,la_casa_de_la_meva_mare_s_gran.mp3
paraula_0001_02,Jo sóc {{c1::de}} Barcelona.<br>Yo soy {{c2::de}} Barcelona.,[sound:jo_sc_de_barcelona.mp3],Jo sóc de Barcelona.,Yo soy de Barcelona.,de,Preposition,Common,jo_sc_de_barcelona.mp3
paraula_0002_01,{{c1::la}} casa és gran.<br>{{c2::la}} casa es grande.,[sound:la_casa_s_gran.mp3],La casa és gran.,La casa es grande.,la,Article,Common,la_casa_s_gran.mp3
paraula_0003_01,Jo tinc un gos {{c1::i}} un gat.<br>Yo tengo un perro y un gato.,[sound:jo_tinc_un_gos_i_un_gat.mp3],Jo tinc un gos i un gat.,Yo tengo un perro y un gato.,i,Conjunction,Common,jo_tinc_un_gos_i_un_gat.mp3
paraula_0004_01,Vaig anar {{c1::a}} l'escola.<br>Fui {{c2::a}} la escuela.,[sound:vaig_anar_a_lescola.mp3],Vaig anar a l'escola.,Fui a la escuela.,a,Preposition,Common,vaig_anar_a_lescola.mp3
paraula_0005_01,{{c1::el}} llibre està a la taula.<br>{{c2::el}} libro está en la mesa.,[sound:el_llibre_est_a_la_taula.mp3],El llibre està a la taula.,El libro está en la mesa.,el,Article,Common,el_llibre_est_a_la_taula.mp3
paraula_0006_01,Crec {{c1::que}} està bé.<br>Creo {{c2::que}} está bien.,[sound:crec_que_est_b.mp3],Crec que està bé.,Creo que está bien.,que,Conjunction,Common,crec_que_est_b.mp3
paraula_0006_02,No sé què fer.<br>No sé qué hacer.,[sound:no_s_qu_fer.mp3],No sé què fer.,No sé qué hacer.,que,"Pronoun, Adjective",Common,no_s_qu_fer.mp3
paraula_0007_01,Visc {{c1::en}} un pis petit.<br>Vivo {{c2::en}} un apartamento pequeño.,[sound:visc_en_un_pis_petit.mp3],Visc en un pis petit.,Vivo en un apartamento pequeño.,en,Preposition,Common,visc_en_un_pis_petit.mp3
paraula_0007_02,El llibre està {{c1::en}} la taula.<br>El libro está {{c2::en}} la mesa.,[sound:el_llibre_est_en_la_taula.mp3],El llibre està en la taula.,El libro está en la mesa.,en,Preposition,Common,el_llibre_est_en_la_taula.mp3
paraula_0008_01,Tinc {{c1::un}} gat.<br>Tengo {{c2::un}} gato.,[sound:tinc_un_gat.mp3],Tinc un gat.,Tengo un gato.,un,Article,Common,tinc_un_gat.mp3
paraula_0009_01,Ella és alta.<br>Ella es alta.,[sound:ella_s_alta.mp3],Ella és alta.,Ella es alta.,ser,Verb,Common,ella_s_alta.mp3
paraula_0011_01,Vaig comprar aquest llibre {{c1::per}} tu.<br>Compré este libro para ti.,[sound:vaig_comprar_aquest_llibre_per_tu.mp3],Vaig comprar aquest llibre per tu.,Compré este libro para ti.,per,Preposition,Common,vaig_comprar_aquest_llibre_per_tu.mp3
paraula_0011_02,He perdut les claus {{c1::per}} la casa.<br>He perdido las llaves por la casa.,[sound:he_perdut_les_claus_per_la_casa.mp3],He perdut les claus per la casa.,He perdido las llaves por la casa.,per,Preposition,Common,he_perdut_les_claus_per_la_casa.mp3
paraula_0012_01,Això {{c1::es}} un llibre.<br>Esto {{c2::es}} un libro.,[sound:aix_es_un_llibre.mp3],Això es un llibre.,Esto es un libro.,es,Verb (To be),Common,aix_es_un_llibre.mp3
paraula_0013_01,Vaig anar a la festa {{c1::amb}} els meus amics.<br>Fui a la fiesta con mis amigos.,[sound:vaig_anar_a_la_festa_amb_els_meus_amics.mp3],Vaig anar a la festa amb els meus amics.,Fui a la fiesta con mis amigos.,amb,Preposition,Common,vaig_anar_a_la_festa_amb_els_meus_amics.mp3
paraula_0014_01,Tinc {{c1::una}} idea.<br>Tengo {{c2::una}} idea.,[sound:tinc_una_idea.mp3],Tinc una idea.,Tengo una idea.,una,Article,Common,tinc_una_idea.mp3
